replicate,model,model_label,n_train,n_test,roc_auc,f1,accuracy,precision,recall,brier,ece
67,orig_quality_pa,Original: Quality + PA,398,92,0.960756501182033,0.8865979381443299,0.8804347826086957,0.86,0.9148936170212766,0.08444010468810564,0.07188983020049139
67,compressed,Compressed Derived,398,92,0.9238770685579196,0.8865979381443299,0.8804347826086957,0.86,0.9148936170212766,0.08817368370550419,0.10424142606004229
67,enhanced,Compressed + Interaction,398,92,0.9196217494089834,0.8865979381443299,0.8804347826086957,0.86,0.9148936170212766,0.09407904362455097,0.09864582782116789
68,orig_quality_hr,Original: Quality + HR,371,162,0.9404725609756097,0.896969696969697,0.8950617283950617,0.8705882352941177,0.925,0.08077160494618259,0.05240920520307965
68,orig_sleep_pa,Original: Sleep + PA,371,162,0.9347560975609756,0.896969696969697,0.8950617283950617,0.8705882352941177,0.925,0.08659708488727666,0.05143477909159193
68,orig_sleep_hr,Original: Sleep + HR,371,162,0.9396341463414634,0.896969696969697,0.8950617283950617,0.8705882352941177,0.925,0.08429926220452859,0.060345382482943986
68,orig_quality_pa,Original: Quality + PA,371,162,0.9369664634146342,0.896969696969697,0.8950617283950617,0.8705882352941177,0.925,0.08194609405888503,0.04933150092268929
68,compressed,Compressed Derived,371,162,0.9404725609756098,0.9024390243902439,0.9012345679012346,0.8809523809523809,0.925,0.08256815944541096,0.056326935827049666
68,enhanced,Compressed + Interaction,371,162,0.9315548780487806,0.896969696969697,0.8950617283950617,0.8705882352941177,0.925,0.08465204859908332,0.0497211494684966
69,orig_quality_hr,Original: Quality + HR,399,121,0.885733603786342,0.782608695652174,0.8760330578512396,0.7714285714285715,0.7941176470588235,0.09404540493450989,0.07048631193459343
69,orig_sleep_pa,Original: Sleep + PA,399,121,0.8627450980392158,0.782608695652174,0.8760330578512396,0.7714285714285715,0.7941176470588235,0.09944034193383978,0.11354594748146599
69,orig_sleep_hr,Original: Sleep + HR,399,121,0.8735632183908045,0.782608695652174,0.8760330578512396,0.7714285714285715,0.7941176470588235,0.09713835921588282,0.07194264720411453
69,orig_quality_pa,Original: Quality + PA,399,121,0.8742393509127789,0.782608695652174,0.8760330578512396,0.7714285714285715,0.7941176470588235,0.09475242788191485,0.06942221468583762
69,compressed,Compressed Derived,399,121,0.8668018931710615,0.7941176470588235,0.8842975206611571,0.7941176470588235,0.7941176470588235,0.09516204183936898,0.08419990793676557
69,enhanced,Compressed + Interaction,399,121,0.8573360378634213,0.782608695652174,0.8760330578512396,0.7714285714285715,0.7941176470588235,0.10032681485150816,0.11658791363233786
70,orig_quality_hr,Original: Quality + HR,355,165,0.9349605821710127,0.9037037037037037,0.9212121212121213,0.9104477611940298,0.8970588235294118,0.07255414613934189,0.050904419271486825
70,orig_sleep_pa,Original: Sleep + PA,355,165,0.9378411158277744,0.9037037037037037,0.9212121212121213,0.9104477611940298,0.8970588235294118,0.0739071202057771,0.061426601589184976
70,orig_sleep_hr,Original: Sleep + HR,355,165,0.9366282595512431,0.9037037037037037,0.9212121212121213,0.9104477611940298,0.8970588235294118,0.07480254874457117,0.04301001389514245
