repeat,fold,scoring,model,model_label,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
1,3,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9146953405017921,0.8620689655172413,0.8947368421052632,0.9259259259259259,0.8064516129032258,0.1014253749624233,0.09398752973608915
1,3,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9182795698924732,0.8620689655172413,0.8947368421052632,0.9259259259259259,0.8064516129032258,0.08234986502939193,0.06978093821910289
1,3,neg_log_loss,compressed,Compressed Derived,10.0,balanced,0.8806451612903226,0.8620689655172413,0.8947368421052632,0.9259259259259259,0.8064516129032258,0.09701381141128348,0.09446049047555317
1,3,neg_log_loss,enhanced,Compressed + Interaction,10.0,balanced,0.8784946236559139,0.8620689655172413,0.8947368421052632,0.9259259259259259,0.8064516129032258,0.09693480891170897,0.09805345479769706
1,4,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.9388597149287322,0.9,0.918918918918919,0.9310344827586207,0.8709677419354839,0.07006113464182476,0.08729848111593856
1,4,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9028507126781695,0.9,0.918918918918919,0.9310344827586207,0.8709677419354839,0.07744745565607397,0.05947295493004206
1,4,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9238559639909977,0.9,0.918918918918919,0.9310344827586207,0.8709677419354839,0.07765302158173779,0.07573211612747457
1,4,neg_log_loss,orig_quality_pa,Original: Quality + PA,10.0,None,0.9036009002250563,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.07254995212605213,0.08237519979403866
1,4,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9223555888972242,0.9,0.918918918918919,0.9310344827586207,0.8709677419354839,0.07699788790032182,0.07711903880490567
1,4,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9223555888972242,0.9,0.918918918918919,0.9310344827586207,0.8709677419354839,0.0765236095425775,0.0795693906206045
1,5,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9377344336084021,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07573400543762566,0.044758943845541826
1,5,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9583645911477869,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07381777636729703,0.09106748294864386
1,5,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9628657164291072,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.0748764520039975,0.11366699681241473
1,5,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9459864966241561,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07453656480360099,0.07943558011233287
1,5,neg_log_loss,compressed,Compressed Derived,1.0,None,0.9369842460615154,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07913317993178155,0.06171489402136205
1,5,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9429857464366093,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07647934452554464,0.0541393326617922
2,1,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.969941348973607,0.9180327868852459,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.058498001105013714,0.07616886460749489
2,1,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9780058651026393,0.9180327868852459,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.0590409611747392,0.06818109212691789
2,1,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9684750733137829,0.9180327868852459,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.06140780780778383,0.06365581211671312
2,1,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9714076246334311,0.9180327868852459,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.05664835791789061,0.07258400103936281
2,1,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9699413489736071,0.9180327868852459,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.05847063421736342,0.0598518860739454
2,1,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.969208211143695,0.9180327868852459,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.05862080194518928,0.05854847757462628
2,2,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9332844574780058,0.896551724137931,0.92,0.9629629629629629,0.8387096774193549,0.06852358515873966,0.08098246176857085
2,2,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,1.0,None,0.9574780058651026,0.896551724137931,0.92,0.9629629629629629,0.8387096774193549,0.06995011254432008,0.10541838227213321
2,2,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9640762463343108,0.896551724137931,0.92,0.9629629629629629,0.8387096774193549,0.07254958685608702,0.10566054931325733
2,2,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9472140762463342,0.896551724137931,0.92,0.9629629629629629,0.8387096774193549,0.059503133598667664,0.0668035952686329
2,2,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9354838709677419,0.896551724137931,0.92,0.9629629629629629,0.8387096774193549,0.07133555775598127,0.08866334344726347
2,2,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9340175953079178,0.896551724137931,0.92,0.9629629629629629,0.8387096774193549,0.07133617930992729,0.07719230461307838
2,3,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9339834958739686,0.9032258064516129,0.918918918918919,0.9032258064516129,0.9032258064516129,0.08669721443254007,0.12945076589992613
2,3,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9279819954988747,0.9032258064516129,0.918918918918919,0.9032258064516129,0.9032258064516129,0.09146544712780899,0.13925150860360236
2,3,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9324831207801951,0.9032258064516129,0.918918918918919,0.9032258064516129,0.9032258064516129,0.08979740327463485,0.13860878661542822
2,3,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9332333083270817,0.9032258064516129,0.918918918918919,0.9032258064516129,0.9032258064516129,0.08726431644840506,0.1319666571245309
2,3,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9339834958739685,0.9032258064516129,0.918918918918919,0.9032258064516129,0.9032258064516129,0.08649185947707465,0.12885935670230453
2,3,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9339834958739685,0.9032258064516129,0.918918918918919,0.9032258064516129,0.9032258064516129,0.08395112183747942,0.12475098010171223
2,4,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.9564891222805701,0.9253731343283582,0.9324324324324325,0.8611111111111112,1.0,0.06408831320890729,0.070320983748104
2,4,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9594898724681171,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07762143655396944,0.09292229857326548
2,4,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9572393098274569,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07518118269222032,0.09336358908192638
2,4,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9602400600150037,0.9253731343283582,0.9324324324324325,0.8611111111111112,1.0,0.0639846404750847,0.07097056657173417
2,4,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9624906226556639,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.07769362008211494,0.09697094509065216
2,4,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9609902475618904,0.8923076923076924,0.9054054054054054,0.8529411764705882,0.9354838709677419,0.0769840516269016,0.0846468465956382
2,5,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,balanced,0.9125448028673836,0.8484848484848485,0.868421052631579,0.8,0.9032258064516129,0.09343695106599144,0.0854845857046648
2,5,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9010752688172045,0.8484848484848485,0.868421052631579,0.8,0.9032258064516129,0.09940872595174705,0.11093155993857184
2,5,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9068100358422939,0.8484848484848485,0.868421052631579,0.8,0.9032258064516129,0.09666581212553453,0.0931288239477181
2,5,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9025089605734767,0.8484848484848485,0.868421052631579,0.8,0.9032258064516129,0.09590549020205515,0.09000785156588773
2,5,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9075268817204302,0.8484848484848485,0.868421052631579,0.8,0.9032258064516129,0.09420660862441772,0.10260968664957645
2,5,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9161290322580645,0.8484848484848485,0.868421052631579,0.8,0.9032258064516129,0.09502506976610232,0.11126560201284766
3,1,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9794721407624634,0.9117647058823529,0.92,0.8378378378378378,1.0,0.058564150320627256,0.08304404738445799
3,1,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9838709677419355,0.9117647058823529,0.92,0.8378378378378378,1.0,0.05412417254554582,0.09559218190916319
3,1,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9765395894428153,0.9117647058823529,0.92,0.8378378378378378,1.0,0.05995400352586536,0.08728617695451577
3,1,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9890029325513197,0.9117647058823529,0.92,0.8378378378378378,1.0,0.0529088365390975,0.0885907549902457
3,1,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9824046920821113,0.9117647058823529,0.92,0.8378378378378378,1.0,0.05737816580076976,0.07821213615300888
3,1,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9802052785923755,0.9117647058823529,0.92,0.8378378378378378,1.0,0.05891824163970762,0.07997229666020919
