replicate,model,model_label,n_train,n_test,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
41,compressed,Compressed Derived,374,130,1.0,None,0.8939999999999999,0.8712871287128713,0.9,0.8627450980392157,0.88,0.09951324195904167,0.04332684943625064
41,enhanced,Compressed + Interaction,374,130,0.1,None,0.90125,0.8712871287128713,0.9,0.8627450980392157,0.88,0.09532027078986333,0.07046172561783651
42,orig_quality_hr,Original: Quality + HR,391,122,0.1,None,0.9661290322580645,0.9411764705882353,0.9426229508196722,0.9491525423728814,0.9333333333333333,0.05484771784151933,0.09727877579995403
42,orig_sleep_pa,Original: Sleep + PA,391,122,0.1,None,0.9676075268817204,0.9411764705882353,0.9426229508196722,0.9491525423728814,0.9333333333333333,0.05748376548499484,0.0985315826390642
42,orig_sleep_hr,Original: Sleep + HR,391,122,1.0,None,0.969489247311828,0.9411764705882353,0.9426229508196722,0.9491525423728814,0.9333333333333333,0.0540661623750933,0.07961915935953669
42,orig_quality_pa,Original: Quality + PA,391,122,0.1,None,0.9690860215053763,0.9411764705882353,0.9426229508196722,0.9491525423728814,0.9333333333333333,0.052958138364007465,0.0940263989585768
42,compressed,Compressed Derived,391,122,0.1,None,0.9681451612903227,0.9411764705882353,0.9426229508196722,0.9491525423728814,0.9333333333333333,0.056117151905953865,0.10510460212249977
42,enhanced,Compressed + Interaction,391,122,0.1,None,0.9706989247311828,0.9411764705882353,0.9426229508196722,0.9491525423728814,0.9333333333333333,0.05455417656892569,0.09322577790508953
43,orig_quality_hr,Original: Quality + HR,399,121,0.1,None,0.9522200772200772,0.9066666666666666,0.9421487603305785,0.8947368421052632,0.918918918918919,0.05640594166324607,0.07682351863856263
43,orig_sleep_pa,Original: Sleep + PA,399,121,0.1,None,0.9658944658944659,0.9066666666666666,0.9421487603305785,0.8947368421052632,0.918918918918919,0.0683597530650243,0.10788928744401163
43,orig_sleep_hr,Original: Sleep + HR,399,121,0.1,None,0.9607464607464608,0.8947368421052632,0.9338842975206612,0.8717948717948718,0.918918918918919,0.06454302320233789,0.10269242096719541
43,orig_quality_pa,Original: Quality + PA,399,121,0.1,None,0.9586550836550836,0.9066666666666666,0.9421487603305785,0.8947368421052632,0.918918918918919,0.05710069615434618,0.0832377357785809
43,compressed,Compressed Derived,399,121,0.1,None,0.9564028314028314,0.9066666666666666,0.9421487603305785,0.8947368421052632,0.918918918918919,0.08220685259141221,0.13203747820993372
43,enhanced,Compressed + Interaction,399,121,0.1,None,0.9567245817245817,0.9066666666666666,0.9421487603305785,0.8947368421052632,0.918918918918919,0.07955539062536021,0.12689796425306138
44,orig_quality_hr,Original: Quality + HR,333,144,0.1,None,0.9219246031746031,0.90625,0.9166666666666666,0.8529411764705882,0.9666666666666667,0.07894777883070803,0.09044658656137068
44,orig_sleep_pa,Original: Sleep + PA,333,144,0.1,None,0.9327380952380953,0.8818897637795275,0.8958333333333334,0.835820895522388,0.9333333333333333,0.08268570370612888,0.06647309209738106
44,orig_sleep_hr,Original: Sleep + HR,333,144,0.1,None,0.9121031746031746,0.90625,0.9166666666666666,0.8529411764705882,0.9666666666666667,0.08142091315012423,0.08986952744479901
44,orig_quality_pa,Original: Quality + PA,333,144,0.1,None,0.9366071428571429,0.90625,0.9166666666666666,0.8529411764705882,0.9666666666666667,0.0769050974821259,0.05449526444027543
44,compressed,Compressed Derived,333,144,0.1,None,0.9119047619047618,0.90625,0.9166666666666666,0.8529411764705882,0.9666666666666667,0.08142679541164195,0.09040195539237689
44,enhanced,Compressed + Interaction,333,144,0.1,None,0.913095238095238,0.90625,0.9166666666666666,0.8529411764705882,0.9666666666666667,0.0812739596253246,0.08179911314711313
45,orig_quality_hr,Original: Quality + HR,378,143,0.1,None,0.9465753424657535,0.8933333333333333,0.8881118881118881,0.8701298701298701,0.9178082191780822,0.08180179938680064,0.052852324811899644
45,orig_sleep_pa,Original: Sleep + PA,378,143,0.1,None,0.9360078277886497,0.8933333333333333,0.8881118881118881,0.8701298701298701,0.9178082191780822,0.08823470295220844,0.07854847019648652
45,orig_sleep_hr,Original: Sleep + HR,378,143,0.1,None,0.9467710371819961,0.8933333333333333,0.8881118881118881,0.8701298701298701,0.9178082191780822,0.0859678413367583,0.0549235685352396
45,orig_quality_pa,Original: Quality + PA,378,143,0.1,None,0.9465753424657534,0.8933333333333333,0.8881118881118881,0.8701298701298701,0.9178082191780822,0.08260417839421062,0.04061369494805124
45,compressed,Compressed Derived,378,143,0.1,None,0.9461839530332681,0.8933333333333333,0.8881118881118881,0.8701298701298701,0.9178082191780822,0.08468144817565193,0.05420059480805669
45,enhanced,Compressed + Interaction,378,143,0.1,None,0.9426614481409002,0.8933333333333333,0.8881118881118881,0.8701298701298701,0.9178082191780822,0.08793257065873847,0.045837598590841
46,orig_quality_hr,Original: Quality + HR,423,125,0.1,None,0.930771221532091,0.8347826086956521,0.848,0.8135593220338984,0.8571428571428571,0.10360271479857237,0.041966777279224245
46,orig_sleep_pa,Original: Sleep + PA,423,125,1.0,None,0.9135610766045549,0.8347826086956521,0.848,0.8135593220338984,0.8571428571428571,0.12802736234746626,0.054990605979057305
46,orig_sleep_hr,Original: Sleep + HR,423,125,0.1,None,0.9350414078674948,0.8347826086956521,0.848,0.8135593220338984,0.8571428571428571,0.10981783420158017,0.05407402460028704
46,orig_quality_pa,Original: Quality + PA,423,125,0.1,None,0.9261128364389234,0.8347826086956521,0.848,0.8135593220338984,0.8571428571428571,0.10694624926333818,0.03023205257103712
46,compressed,Compressed Derived,423,125,1.0,None,0.9205486542443063,0.8347826086956521,0.848,0.8135593220338984,0.8571428571428571,0.12076868227416018,0.05475143077301376
46,enhanced,Compressed + Interaction,423,125,0.1,None,0.9358178053830227,0.8347826086956521,0.848,0.8135593220338984,0.8571428571428571,0.11519425903293352,0.05093769721998309
47,orig_quality_hr,Original: Quality + HR,391,114,0.1,None,0.9225023342670401,0.8837209302325582,0.868421052631579,0.8636363636363636,0.9047619047619048,0.09240332741326666,0.047039574145681017
47,orig_sleep_pa,Original: Sleep + PA,391,114,0.1,None,0.9354186118892001,0.8837209302325582,0.868421052631579,0.8636363636363636,0.9047619047619048,0.10057287008312939,0.06017566573690613
47,orig_sleep_hr,Original: Sleep + HR,391,114,1.0,None,0.9298163709928415,0.8837209302325582,0.868421052631579,0.8636363636363636,0.9047619047619048,0.09944010735114305,0.05707835706196156
47,orig_quality_pa,Original: Quality + PA,391,114,0.1,None,0.9343292872704637,0.8837209302325582,0.868421052631579,0.8636363636363636,0.9047619047619048,0.09311709775809512,0.06654890906470143
47,compressed,Compressed Derived,391,114,0.1,None,0.9239028944911296,0.8837209302325582,0.868421052631579,0.8636363636363636,0.9047619047619048,0.09542416099713974,0.04921869046187407
47,enhanced,Compressed + Interaction,391,114,0.1,None,0.9313725490196079,0.8837209302325582,0.868421052631579,0.8636363636363636,0.9047619047619048,0.09965305266688387,0.059115288471178196
